n: 12
g: 3
nswaps: 4
a:
[
 0 664 946 337 608 666 666 670 998 668 426 368
 336 0 418 631 354 676 942 928 977 667 334 418
 54 582 0 333 140 664 666 644 924 646 82 261
 663 369 667 0 665 404 733 853 998 737 658 588
 392 646 860 335 0 666 666 680 1000 667 354 382
 334 324 336 596 334 0 891 671 749 667 334 351
 334 58 334 267 334 109 0 324 455 359 334 332
 330 72 356 147 320 329 676 0 900 588 334 259
 2 23 76 2 0 251 545 100 0 321 21 0
 332 333 354 263 333 333 641 412 679 0 335 308
 574 666 918 342 646 666 666 666 979 665 0 426
 632 582 739 412 618 649 668 741 1000 692 574 0
]
