n: 10
m: 5000
c:
[
 0.0000 0.5254 0.4354 0.6370 0.5324 0.4918 0.7146 0.2886 0.6136 0.8446
 0.4746 0.0000 0.4304 0.5696 0.5140 0.4856 0.6898 0.2840 0.5718 0.7570
 0.5646 0.5696 0.0000 0.6790 0.5618 0.5402 0.7616 0.2570 0.7250 0.8694
 0.3630 0.4304 0.3210 0.0000 0.4632 0.4050 0.6234 0.2262 0.5006 0.7694
 0.4676 0.4860 0.4382 0.5368 0.0000 0.4826 0.5882 0.2842 0.5290 0.6622
 0.5082 0.5144 0.4598 0.5950 0.5174 0.0000 0.6698 0.2954 0.5928 0.7508
 0.2854 0.3102 0.2384 0.3766 0.4118 0.3302 0.0000 0.1786 0.3558 0.6576
 0.7114 0.7160 0.7430 0.7738 0.7158 0.7046 0.8214 0.0000 0.8202 0.8828
 0.3864 0.4282 0.2750 0.4994 0.4710 0.4072 0.6442 0.1798 0.0000 0.8206
 0.1554 0.2430 0.1306 0.2306 0.3378 0.2492 0.3424 0.1172 0.1794 0.0000
]
