n: 12
g: 4
nswaps: 4
a:
[
 0 733 601 688 998 725 593 371 833 702 884 732
 267 0 682 728 889 667 560 171 796 650 721 666
 399 318 0 979 935 883 806 400 395 481 818 734
 312 272 21 0 517 140 37 190 289 128 385 529
 2 111 65 483 0 65 125 122 216 12 135 524
 275 333 117 860 935 0 626 397 268 149 519 643
 407 440 194 963 875 374 0 410 451 222 438 722
 629 829 600 810 878 603 590 0 799 593 835 544
 167 204 605 711 784 732 549 201 0 618 662 722
 298 350 519 872 988 851 778 407 382 0 909 668
 116 279 182 615 865 481 562 165 338 91 0 606
 268 334 266 471 476 357 278 456 278 332 394 0
]
