n: 12
g: 3
nswaps: 7
a:
[
 0 708 814 856 857 65 580 614 190 893 824 573
 292 0 678 841 853 21 571 539 64 876 747 571
 186 322 0 782 806 2 578 429 59 942 595 571
 144 159 218 0 397 0 592 19 106 818 115 507
 143 147 194 603 0 46 709 163 143 832 312 674
 935 979 998 1000 954 0 948 985 808 1000 1000 917
 420 429 422 408 291 52 0 258 340 500 330 274
 386 461 571 981 837 15 742 0 224 996 818 679
 810 936 941 894 857 192 660 776 0 983 856 603
 107 124 58 182 168 0 500 4 17 0 18 412
 176 253 405 885 688 0 670 182 144 982 0 606
 427 429 429 493 326 83 726 321 397 588 394 0
]
