n: 12
g: 4
nswaps: 1
a:
[
 0 776 566 800 481 394 1000 329 334 993 267 267
 224 0 625 807 124 334 1000 349 334 1000 430 334
 434 375 0 857 92 334 963 334 334 1000 346 334
 200 193 143 0 200 200 200 200 200 271 200 189
 519 876 908 800 0 457 1000 467 349 1000 400 270
 606 666 666 800 543 0 666 116 81 920 133 47
 0 0 37 800 0 334 0 244 334 830 0 22
 671 651 666 800 533 884 756 0 791 1000 185 533
 666 666 666 800 651 919 666 209 0 933 133 502
 7 0 0 729 0 80 170 0 67 0 0 0
 733 570 654 800 600 867 1000 815 867 1000 0 839
 733 666 666 811 730 953 978 467 498 1000 161 0
]
