n: 12
g: 2
nswaps: 7
a:
[
 0 995 909 93 34 333 519 104 837 913 659 298
 5 0 445 0 0 41 1 0 110 76 176 0
 91 555 0 1 11 333 293 33 337 343 90 228
 907 1000 999 0 367 352 811 490 975 994 884 341
 966 1000 989 633 0 507 975 720 1000 1000 763 417
 667 959 667 648 493 0 696 591 903 752 667 216
 481 999 707 189 25 304 0 87 929 881 658 92
 896 1000 967 510 280 409 913 0 995 999 713 345
 163 890 663 25 0 97 71 5 0 511 593 1
 87 924 657 6 0 248 119 1 489 0 487 35
 341 824 910 116 237 333 342 287 407 513 0 333
 702 1000 772 659 583 784 908 655 999 965 667 0
]
