n: 12
g: 4
nswaps: 7
a:
[
 0 278 468 242 211 477 184 395 280 30 489 317
 722 0 437 327 260 524 255 668 496 425 509 491
 532 563 0 277 250 563 251 508 562 454 569 325
 758 673 723 0 280 671 328 714 511 291 571 489
 789 740 750 720 0 750 588 735 564 296 741 691
 523 476 437 329 250 0 138 500 621 458 369 268
 816 745 749 672 412 862 0 740 725 494 789 713
 605 332 492 286 265 500 260 0 322 109 499 468
 720 504 438 489 436 379 275 678 0 317 476 482
 970 575 546 709 704 542 506 891 683 0 501 677
 511 491 431 429 259 631 211 501 524 499 0 348
 683 509 675 511 309 732 287 532 518 323 652 0
]
