n: 12
g: 2
nswaps: 4
a:
[
 0 1000 996 996 971 871 999 966 1000 877 1000 1000
 0 0 501 527 500 497 210 24 910 472 884 508
 4 499 0 500 502 500 493 463 606 52 504 861
 4 473 500 0 500 162 391 109 506 500 530 500
 29 500 498 500 0 500 500 492 529 116 500 842
 129 503 500 838 500 0 495 385 529 500 602 500
 1 790 507 609 500 505 0 125 980 494 967 533
 34 976 537 891 508 615 875 0 999 501 998 608
 0 90 394 494 471 471 20 1 0 98 415 498
 123 528 948 500 884 500 506 499 902 0 615 995
 0 116 496 470 500 398 33 2 585 385 0 500
 0 492 139 500 158 500 467 392 502 5 500 0
]
