n: 12
g: 3
nswaps: 1
a:
[
 0 403 429 429 297 477 143 286 944 429 167 413
 597 0 413 286 286 812 13 344 1000 262 143 286
 571 587 0 339 286 819 0 857 990 0 143 551
 571 714 661 0 87 580 132 571 714 0 143 571
 703 714 714 913 0 714 190 616 714 143 143 714
 523 188 181 420 286 0 143 286 979 19 143 0
 857 987 1000 868 810 857 0 857 1000 327 399 857
 714 656 143 429 384 714 143 0 738 143 143 207
 56 0 10 286 286 21 0 262 0 0 131 0
 571 738 1000 1000 857 981 673 857 1000 0 189 851
 833 857 857 857 857 857 601 857 869 811 0 857
 587 714 449 429 286 1000 143 793 1000 149 143 0
]
