n: 24
g: 2
nswaps: 3
a:
[ 
 0 500 1000 500 500 499 505 500 500 500 1000 500 947 500 1000 500 490 500 500 500 992 560 500 492 
 500 0 500 0 556 0 500 505 0 0 1000 0 500 0 991 1000 500 495 438 0 1000 500 6 0 
 0 500 0 0 500 0 500 500 446 60 505 1 500 3 547 500 0 500 0 0 501 448 498 0 
 500 1000 1000 0 1000 438 1000 1000 500 1000 1000 933 1000 505 1000 1000 500 1000 554 72 1000 500 1000 0 
 500 444 500 0 0 0 453 494 0 0 1000 0 505 0 1000 555 497 52 0 0 1000 500 0 0 
 501 1000 1000 562 1000 0 1000 1000 500 994 1000 931 1000 500 1000 1000 513 1000 996 440 1000 500 1000 64 
 495 500 500 0 547 0 0 500 5 0 1000 0 957 0 1000 506 434 495 0 0 1000 500 53 0 
 500 495 500 0 506 0 500 0 0 5 1000 0 500 0 948 995 500 500 498 0 1000 500 58 0 
 500 1000 554 500 1000 500 995 1000 0 506 1000 500 999 448 1000 1000 500 1000 500 498 1000 500 947 55 
 500 1000 940 0 1000 6 1000 995 494 0 1000 78 1000 56 1000 1000 500 1000 500 0 1000 500 952 0 
 0 0 495 0 0 0 0 0 0 0 0 0 3 0 447 53 0 0 0 0 501 500 0 0 
 500 1000 999 67 1000 69 1000 1000 500 922 1000 0 1000 446 1000 1000 500 1000 505 0 1000 500 993 0 
 53 500 500 0 495 0 43 500 1 0 997 0 0 0 999 500 5 438 0 0 945 500 2 0 
 500 1000 997 495 1000 500 1000 1000 552 944 1000 554 1000 0 1000 1000 500 1000 500 445 1000 500 1000 10 
 0 9 453 0 0 0 0 52 0 0 553 0 1 0 0 440 0 0 0 0 503 497 0 0 
 500 0 500 0 445 0 494 5 0 0 947 0 500 0 560 0 500 60 5 0 994 500 0 0 
 510 500 1000 500 503 487 566 500 500 500 1000 500 995 500 1000 500 0 500 500 500 999 503 500 444 
 500 505 500 0 948 0 505 500 0 0 1000 0 562 0 1000 940 500 0 44 0 1000 500 1 0 
 500 562 1000 446 1000 4 1000 502 500 500 1000 495 1000 500 1000 995 500 956 0 53 1000 500 500 0 
 500 1000 1000 928 1000 560 1000 1000 502 1000 1000 1000 1000 555 1000 1000 500 1000 947 0 1000 500 1000 3 
 8 0 499 0 0 0 0 0 0 0 499 0 55 0 497 6 1 0 0 0 0 500 0 0 
 440 500 552 500 500 500 500 500 500 500 500 500 500 500 503 500 497 500 500 500 500 0 500 500 
 500 994 502 0 1000 0 947 942 53 48 1000 7 998 0 1000 1000 500 999 500 0 1000 500 0 0 
 508 1000 1000 1000 1000 936 1000 1000 945 1000 1000 1000 1000 990 1000 1000 556 1000 1000 997 1000 500 1000 0 
]
