n: 12
g: 4
nswaps: 4
a:
[
 0 553 550 308 235 12 929 250 193 686 452 316
 447 0 701 96 3 2 941 242 220 332 491 311
 450 299 0 191 3 49 767 185 27 264 305 250
 692 904 809 0 62 20 1000 313 494 715 521 504
 765 997 997 938 0 499 1000 770 684 930 622 745
 988 998 951 980 501 0 1000 700 615 987 763 932
 71 59 233 0 0 0 0 61 2 26 56 187
 750 758 815 687 230 300 939 0 734 560 501 681
 807 780 973 506 316 385 998 266 0 694 698 497
 314 668 736 285 70 13 974 440 306 0 447 499
 548 509 695 479 378 237 944 499 302 553 0 497
 684 689 750 496 255 68 813 319 503 501 503 0
]
